crash_dim_id,crash_id,crash_type
1239,20235121,Single
1240,20232119,Single
1241,20235003,Single
1242,20232243,Multiple
1243,20234042,Single
1244,20235036,Multiple
1245,20232067,Single
1246,20234079,Multiple
1247,20231023,Single
1248,20233221,Single
1249,20233081,Single
1250,20231076,Single
1251,20232045,Multiple
1252,20236006,Multiple
1253,20234061,Single
1254,20232201,Multiple
1255,20236025,Multiple
1256,20233189,Single
1257,20233111,Single
1258,20232097,Single
1259,20237022,Single
1260,20233036,Multiple
1261,20231250,Single
1262,20232174,Single
1263,20233228,Multiple
1264,20234084,Multiple
1265,20235134,Single
1266,20232009,Single
1267,20231145,Single
1268,20231056,Single
1269,20232115,Multiple
1270,20233012,Single
1271,20232018,Multiple
1272,20233200,Single
1273,20233110,Single
1274,20233154,Multiple
1275,20235090,Single
1276,20231223,Single
1277,20234067,Multiple
1278,20231182,Single
1279,20238004,Multiple
1280,20231173,Single
1281,20233155,Single
1282,20233161,Single
1283,20235135,Single
1284,20234020,Single
1285,20231052,Multiple
1286,20231296,Multiple
1287,20231143,Single
1288,20232169,Single
1289,20234021,Multiple
1290,20231302,Single
1291,20232104,Multiple
1292,20235034,Single
1293,20231285,Multiple
1294,20231178,Multiple
1295,20237010,Single
1296,20234031,Single
1297,20237013,Multiple
1298,20232219,Single
1299,20233136,Single
1300,20233051,Multiple
1301,20231229,Single
1302,20233176,Single
1303,20235124,Single
1304,20234068,Single
1305,20231044,Single
1306,20235105,Single
1307,20231190,Single
1308,20232059,Single
1309,20236012,Single
1310,20233205,Single
1311,20233074,Single
1312,20233050,Single
1313,20231045,Single
1314,20232016,Single
1315,20232021,Single
1316,20231205,Single
1317,20234025,Multiple
1318,20232203,Multiple
1319,20231119,Single
1320,20232227,Single
1321,20231272,Single
1322,20232183,Multiple
1323,20235050,Single
1324,20233139,Single
1325,20232088,Single
1326,20232062,Single
1327,20233043,Single
1328,20232130,Multiple
1329,20235108,Single
1330,20231256,Single
1331,20235082,Single
1332,20232144,Single
1333,20234018,Single
1334,20231278,Multiple
1335,20233138,Single
1336,20233008,Single
1337,20234063,Multiple
1338,20232095,Multiple
1339,20232184,Single
1340,20233069,Single
1341,20232037,Single
1342,20234017,Multiple
1343,20232027,Multiple
1344,20231029,Multiple
1345,20235013,Single
1346,20231111,Multiple
1347,20232198,Multiple
1348,20234034,Single
1349,20231160,Multiple
1350,20233224,Single
1351,20235070,Single
1352,20231139,Multiple
1353,20231303,Single
1354,20231283,Single
1355,20231141,Single
1356,20231206,Multiple
1357,20235089,Single
1358,20235001,Single
1359,20233017,Single
1360,20235110,Single
1361,20231175,Single
1362,20232110,Multiple
1363,20233073,Multiple
1364,20233114,Multiple
1365,20231064,Single
1366,20233032,Multiple
1367,20232241,Multiple
1368,20233063,Single
1369,20231271,Single
1370,20234094,Single
1371,20231152,Single
1372,20231068,Multiple
1373,20233020,Single
1374,20232236,Multiple
1375,20233134,Single
1376,20233198,Single
1377,20231252,Multiple
1378,20232047,Multiple
1379,20235122,Single
1380,20235139,Single
1381,20231227,Single
